Epoch,Phase,Num Correct,Num Sample,Accuracy,Loss
89,valid,632,1299,0.4865280985373364,"tensor(1.5273, device='cuda:0')"
89,overall,,,0.5481139337952271
90,train,8867,10620,0.8349340866290019,"tensor(1.4169, device='cuda:0', grad_fn=<DivBackward0>)"
90,valid,627,1299,0.48267898383371827,"tensor(1.5269, device='cuda:0')"
90,overall,,,0.5481139337952271
91,train,8903,10620,0.8383239171374764,"tensor(1.4156, device='cuda:0', grad_fn=<DivBackward0>)"
91,valid,632,1299,0.4865280985373364,"tensor(1.5305, device='cuda:0')"
91,overall,,,0.5481139337952271
92,train,8848,10620,0.8331450094161958,"tensor(1.4146, device='cuda:0', grad_fn=<DivBackward0>)"
92,valid,632,1299,0.4865280985373364,"tensor(1.5291, device='cuda:0')"
92,overall,,,0.5481139337952271
93,train,8831,10620,0.8315442561205273,"tensor(1.4149, device='cuda:0', grad_fn=<DivBackward0>)"
93,valid,631,1299,0.4857582755966128,"tensor(1.5251, device='cuda:0')"
93,overall,,,0.5481139337952271
94,train,8820,10620,0.8305084745762712,"tensor(1.4131, device='cuda:0', grad_fn=<DivBackward0>)"
94,valid,627,1299,0.48267898383371827,"tensor(1.5252, device='cuda:0')"
94,overall,,,0.5481139337952271
95,train,8768,10620,0.8256120527306968,"tensor(1.4125, device='cuda:0', grad_fn=<DivBackward0>)"
95,valid,639,1299,0.49191685912240185,"tensor(1.5231, device='cuda:0')"
95,overall,,,0.5481139337952271
96,train,8759,10620,0.8247645951035781,"tensor(1.4118, device='cuda:0', grad_fn=<DivBackward0>)"
96,valid,646,1299,0.4973056197074673,"tensor(1.5227, device='cuda:0')"
96,overall,,,0.5481139337952271
97,train,8704,10620,0.8195856873822975,"tensor(1.4119, device='cuda:0', grad_fn=<DivBackward0>)"
97,valid,648,1299,0.49884526558891457,"tensor(1.5173, device='cuda:0')"
97,overall,,,0.5481139337952271
98,train,8852,10620,0.8335216572504708,"tensor(1.4081, device='cuda:0', grad_fn=<DivBackward0>)"
98,valid,651,1299,0.5011547344110855,"tensor(1.5182, device='cuda:0')"
98,overall,,,0.5481139337952271
99,train,8966,10620,0.8442561205273069,"tensor(1.4066, device='cuda:0', grad_fn=<DivBackward0>)"
99,valid,637,1299,0.49037721324095457,"tensor(1.5178, device='cuda:0')"
99,overall,,,0.5481139337952271
100,train,8985,10620,0.846045197740113,"tensor(1.4053, device='cuda:0', grad_fn=<DivBackward0>)"
100,valid,635,1299,0.4888375673595073,"tensor(1.5160, device='cuda:0')"
100,overall,,,0.5481139337952271
